"","alpha","gamma","luce"
"gamma",0.00057363624837023,0.0041787659630206,0.00185281492407762
"luce",-0.030416325081531,0.00185281492407762,0.0409470060831438
"alpha",0.0443401167252447,-0.000164340726216158,-0.0452159521033859
"gamma",-0.000164340726216158,0.00413908526715701,0.00302986796387037
"luce",-0.0452159521033859,0.00302986796387037,0.0569420139576892
"alpha",0.0394254519652551,-0.00489193903669614,-0.0378172730089969
"gamma",-0.00489193903669614,0.0116936135771974,0.00318080331989527
"luce",-0.0378172730089969,0.00318080331989527,0.0535445601555489
"alpha",0.0351517373493751,0.000734749539242167,-0.023089774547304
"gamma",0.000734749539242167,0.00567546918301741,0.0021829545706072
"luce",-0.023089774547304,0.0021829545706072,0.0231725672275684
"alpha",0.0350421561542387,-0.00398619798376857,-0.0208582179682582
"gamma",-0.00398619798376857,0.00710960130264489,0.00203047965240942
"luce",-0.0208582179682582,0.00203047965240942,0.0232178054457419
"alpha",0.0275324250597593,-0.00181244622517051,-0.0298562309182657
"gamma",-0.00181244622517051,0.00221074313249354,0.00273947021689267
"luce",-0.0298562309182657,0.00273947021689267,0.0480396419525542
"alpha",0.0339462145340883,-0.00301053727819496,-0.0363980860703478
"gamma",-0.00301053727819496,0.00842801969153772,0.00289137193362059
"luce",-0.0363980860703478,0.00289137193362059,0.0549053331006338
"alpha",0.0311626324486691,-0.00128896028857147,-0.0319993535616201
"gamma",-0.00128896028857147,0.00103734609773079,0.00293145755317461
"luce",-0.0319993535616201,0.00293145755317461,0.0434368657583712
"alpha",0.0210888427810028,0.000363080294557783,-0.0227279208443259
"gamma",0.000363080294557783,0.00503093898009295,0.00349514387052781
"luce",-0.0227279208443259,0.00349514387052781,0.0380843030336321
"alpha",0.0375559037865362,-0.00103216804639845,-0.0394501341198133
"gamma",-0.00103216804639845,0.00171640685654462,0.00423920670013356
"luce",-0.0394501341198133,0.00423920670013356,0.0571538361664349
"alpha",0.0184205456671862,-0.00347058970503605,-0.0188930665748296
"gamma",-0.00347058970503605,0.0105418803280167,0.00180460744226133
"luce",-0.0188930665748296,0.00180460744226133,0.0351857878650127
"alpha",0.0300670968833681,-0.0025902403490382,-0.0310595872569547
"gamma",-0.0025902403490382,0.00433941004160599,0.00338341328363907
"luce",-0.0310595872569547,0.00338341328363907,0.0508112687246931
"alpha",0.0108198582209926,-0.00034036182907157,-0.00415676090391599
"gamma",-0.00034036182907157,0.0137341379688812,-4.37673219471129e-05
"luce",-0.00415676090391599,-4.37673219471129e-05,0.0129772584328202
"alpha",0.0088196660531303,-0.00181413616913317,-0.0077029061132687
"gamma",-0.00181413616913317,0.0102510904665421,-0.000325952161666913
"luce",-0.0077029061132687,-0.000325952161666913,0.0128622499367111
"alpha",0.0340115308223594,3.58444309429593e-05,-0.0362387515879074
"gamma",3.58444309429593e-05,0.00341779665353476,0.001694477672188
"luce",-0.0362387515879074,0.001694477672188,0.0470414598478734
"alpha",0.032012373993037,-0.00164182065742963,-0.0236415207601008
"gamma",-0.00164182065742963,0.00922046226895827,0.00114407712086221
"luce",-0.0236415207601008,0.00114407712086221,0.0302662539513034
"alpha",0.0317828862898917,-0.00217808440238405,-0.0217008627034922
"gamma",-0.00217808440238405,0.00962215413665948,0.000815654597998195
"luce",-0.0217008627034922,0.000815654597998195,0.0258394910600647
"alpha",0.0392250333887418,0.000254917059143227,-0.0405099166023857
"gamma",0.000254917059143227,0.00444942610059336,0.00296840889985799
"luce",-0.0405099166023857,0.00296840889985799,0.0527292251349609
"alpha",0.0267178712601002,-0.00207844421980123,-0.0291336691477868
"gamma",-0.00207844421980123,0.0109645866834837,0.00165339969123101
"luce",-0.0291336691477868,0.00165339969123101,0.0500706128439349
"alpha",0.00201652433277984,-0.000141644723834766,-0.00147275934577517
"gamma",-0.000141644723834766,0.000542525285680766,0.000379031387168376
"luce",-0.00147275934577517,0.000379031387168376,0.00838542985216958
"alpha",0.0419203805436602,-1.72430726695255e-05,-0.0434877381883846
"gamma",-1.72430726695255e-05,0.00333105342337068,0.00152577002030007
