"","alpha","beta","gamma","delta","lambda","luce"
"beta",0.000115491455495718,0.00148767733646678,0.0013356991718521,0.000528803244130815,-0.00569501793254719,-0.00163143635747711
"gamma",-0.0232659739171394,0.0013356991718521,0.0614794494571817,-0.00107708439032061,0.00492886396269198,-0.00322885281183788
"delta",-0.000872088247626671,0.000528803244130815,-0.00107708439032061,0.00281114149923602,-0.00115056076335733,-0.00140652787692892
"lambda",-0.00134246574299043,-0.00569501793254719,0.00492886396269198,-0.00115056076335733,0.279219355903923,-0.0534139025670951
"luce",-0.000866630459689906,-0.00163143635747711,-0.00322885281183788,-0.00140652787692892,-0.0534139025670951,0.0489304743975535
"alpha",0.0324169678939876,0.00251248658953413,-0.0213184681740924,0.0088445893304599,0.0321169362781648,-0.00864263590563023
"beta",0.00251248658953413,0.0144133439393892,0.00655193152563172,-0.00484204447192423,-0.0517448043846664,-0.00543490232319821
"gamma",-0.0213184681740924,0.00655193152563172,0.0568043750405902,-0.010010233206321,-0.0522781921195049,-0.0122526695246411
"delta",0.0088445893304599,-0.00484204447192423,-0.010010233206321,0.0349476322012948,-0.0322105650222994,-0.0158067634136482
"lambda",0.0321169362781648,-0.0517448043846664,-0.0522781921195049,-0.0322105650222994,1.25828711987171,-0.0488164232873601
"luce",-0.00864263590563023,-0.00543490232319821,-0.0122526695246411,-0.0158067634136482,-0.0488164232873601,0.0754225905821393
"alpha",0.00662650349169798,-0.000789887273550945,-0.00207086871315582,0.0032500347399211,-0.00431902966135664,-0.0135571469832654
"beta",-0.000789887273550945,0.0738793388417347,0.0028894487904159,-0.0168274586406201,-0.00496356132187246,0.00217573540610061
"gamma",-0.00207086871315582,0.0028894487904159,0.0275384777014748,-0.00249245725770565,0.00164004184319939,-0.00557053041664991
"delta",0.0032500347399211,-0.0168274586406201,-0.00249245725770565,0.0204428432486118,-0.0310257439120324,-0.00846010539101984
"lambda",-0.00431902966135664,-0.00496356132187246,0.00164004184319939,-0.0310257439120324,1.38401423893014,0.0053597081559399
"luce",-0.0135571469832654,0.00217573540610061,-0.00557053041664991,-0.00846010539101984,0.0053597081559399,0.0702599705238261
"alpha",0.00544314896456138,0.000900651136992452,-0.00257323872090331,0.00165745342382747,0.0312941652029642,-0.00284623425093712
"beta",0.000900651136992452,0.00290759963411123,0.00219617840202913,0.00113858502505029,-0.0200656569299395,-0.00430144717311454
