,delta,sd,2.5%,25%,50%,75%,97.5%
deltaTemp,0.145193879,0.097201001,0.011892727,0.088531853,0.130506897,0.181177531,0.382117917
deltaTemp,0.880718525,0.080676884,0.69626283,0.828331242,0.89195451,0.946667869,0.995429589
deltaTemp,0.325364254,0.091868715,0.143317681,0.269973847,0.324163351,0.379670038,0.50569682
deltaTemp,0.229460197,0.031681426,0.166607112,0.208176496,0.229579005,0.250343855,0.293088015
deltaTemp,0.17438537,0.224985294,0.00551939,0.044439144,0.089930592,0.174570231,0.889590324
deltaTemp,0.090886957,0.068052116,0.004888095,0.041763941,0.079819708,0.122889146,0.25554736
deltaTemp,0.904007116,0.068521149,0.748498007,0.861139954,0.916664226,0.959159918,0.995966476
deltaTemp,0.238642092,0.019539249,0.197066707,0.225424106,0.239524988,0.252531925,0.274496888
deltaTemp,0.954748205,0.036979232,0.862180476,0.935424713,0.964245038,0.982513236,0.998211207
deltaTemp,0.172540004,0.147491172,0.00960335,0.068700824,0.132614198,0.239449218,0.558362609
deltaTemp,0.738843085,0.172081998,0.359177061,0.625043046,0.756186167,0.876108274,0.989116735
deltaTemp,0.367066576,0.027492146,0.321317391,0.347540493,0.364595067,0.384003623,0.427013357
deltaTemp,0.165267878,0.189138725,0.007561181,0.056509219,0.105629156,0.180177904,0.81869307
deltaTemp,0.619018897,0.117138975,0.415797243,0.534666385,0.60656579,0.687005198,0.88956871
deltaTemp,0.554185442,0.037835953,0.484605177,0.526202206,0.554575525,0.581762517,0.626811048
deltaTemp,0.536651691,0.171515961,0.202868238,0.426599115,0.521995952,0.641542761,0.906735842
deltaTemp,0.49836637,0.317816076,0.022965938,0.167848079,0.536785629,0.78159277,0.973484335
deltaTemp,0.843605323,0.081650784,0.687533477,0.784195009,0.843616321,0.905361164,0.987486358
deltaTemp,0.449939018,0.060877513,0.345363267,0.40813217,0.444749868,0.486592724,0.589178585
deltaTemp,0.958982394,0.028888504,0.892858625,0.941240754,0.964053823,0.982067569,0.997642304
deltaTemp,0.884627531,0.068281078,0.742416632,0.836017895,0.889081954,0.940117094,0.991639201
deltaTemp,0.652040295,0.052770266,0.555893921,0.615996767,0.650432202,0.68523899,0.764335143
deltaTemp,0.255287232,0.049796892,0.159337258,0.220554981,0.252750548,0.28992721,0.353521956
deltaTemp,0.21717857,0.098305752,0.034848321,0.150081991,0.210869594,0.275900036,0.432005649
deltaTemp,0.260645908,0.030857475,0.201928033,0.240267906,0.259888471,0.279822423,0.324144477
deltaTemp,0.607021426,0.10125859,0.436269632,0.53581421,0.598138526,0.668413577,0.843370294
deltaTemp,0.214004403,0.218965839,0.006625773,0.054650654,0.11568564,0.341540963,0.784828262
deltaTemp,0.878585001,0.045015807,0.798904152,0.846503332,0.874236549,0.907677681,0.975728236
deltaTemp,0.568954671,0.305705145,0.024677557,0.285895544,0.641262316,0.830027377,0.98580893
deltaTemp,0.352027624,0.025006504,0.309715844,0.334503509,0.349954625,0.366688776,0.407030617
deltaTemp,0.272641652,0.121187403,0.117679356,0.18779833,0.248100103,0.326256418,0.577784199
deltaTemp,0.110089377,0.07715072,0.006752726,0.049271829,0.098658657,0.153292674,0.29678482
deltaTemp,0.360597415,0.028983041,0.309152128,0.340639289,0.358561553,0.379031056,0.423334013
deltaTemp,0.511482043,0.09008058,0.358540368,0.450709501,0.501975994,0.56048025,0.723061795
deltaTemp,0.263608001,0.204317766,0.014808075,0.114678712,0.209633959,0.355928188,0.809222441
deltaTemp,0.695366304,0.021616621,0.652949696,0.681043309,0.695087772,0.710518556,0.737388892
deltaTemp,0.952286227,0.036768797,0.867017222,0.93010749,0.960905784,0.981410017,0.998014899
