"","alpha","beta","gamma","delta","lambda","luce"
"gamma",0.00331500272993616,0.000513580028084052,0.0357469457973189,-2.05879925384934e-05,-0.00712646737352983,0.00201022662314726
"delta",5.67261143313057e-05,-2.49559948607496e-05,-2.05879925384934e-05,6.46244858175238e-05,0.000287783332294735,-0.000286880894785974
"lambda",0.012152264154424,-0.00754641408627807,-0.00712646737352983,0.000287783332294735,0.60699348603674,-0.107354145252489
"luce",-0.0063084988805561,-0.00248072877022364,0.00201022662314726,-0.000286880894785974,-0.107354145252489,0.0562188256325772
"alpha",0.00776208004008965,0.000960071472311646,-0.000193803753196618,0.000369534297357993,0.0163981667570554,-0.00894584533065987
"beta",0.000960071472311646,0.00290710250145156,0.00193446230492167,0.000367950421658765,-0.02870200432488,-0.0010442842016794
"gamma",-0.000193803753196618,0.00193446230492167,0.0391487774620291,-0.00235129617488957,-0.0260000152720217,-0.00103680964862397
"delta",0.000369534297357993,0.000367950421658765,-0.00235129617488957,0.00838296382804204,-0.00760855863184423,-0.00232593793814956
"lambda",0.0163981667570554,-0.02870200432488,-0.0260000152720217,-0.00760855863184423,1.09088612510751,-0.200554918059475
"luce",-0.00894584533065987,-0.0010442842016794,-0.00103680964862397,-0.00232593793814956,-0.200554918059475,0.0748946548539229
"alpha",0.0130676252013966,-0.000385518978894575,-0.0062891749402751,0.000366678075605377,0.0515978474296232,-0.0169048819071548
"beta",-0.000385518978894575,0.00180252209672423,0.000383629681587177,-0.000212958280103228,-0.0186284002021865,7.16571569744396e-06
"gamma",-0.0062891749402751,0.000383629681587177,0.00561825405473934,-8.15318355621605e-05,-0.00382938683927242,0.000679819779027954
"delta",0.000366678075605377,-0.000212958280103228,-8.15318355621605e-05,0.000279538875477262,0.00215271569243915,-0.000889063616464356
"lambda",0.0515978474296232,-0.0186284002021865,-0.00382938683927242,0.00215271569243915,0.94190004148946,-0.202914357142053
"luce",-0.0169048819071548,7.16571569744396e-06,0.000679819779027954,-0.000889063616464356,-0.202914357142053,0.0736306641897915
"alpha",0.0659994321433437,5.44964999101504e-05,-0.00913536030330673,0.000191484708995438,0.00157987721248734,-0.00288934916462345
"beta",5.44964999101504e-05,0.000531241323472163,4.66827690774198e-05,0.000342765803393811,-0.00181739883320452,-0.000880815799312346
"gamma",-0.00913536030330673,4.66827690774198e-05,0.00833588436865769,-2.71153791297122e-05,0.000560457210736724,-0.00108587082169418
"delta",0.000191484708995438,0.000342765803393811,-2.71153791297122e-05,0.000715940631414851,-0.00188046574714315,-0.000854129124225536
"lambda",0.00157987721248734,-0.00181739883320452,0.000560457210736724,-0.00188046574714315,0.462486043457303,-0.0527696434202795
"luce",-0.00288934916462345,-0.000880815799312346,-0.00108587082169418,-0.000854129124225536,-0.0527696434202795,0.0410890588142312
"alpha",0.008060642204435,0.00182584310297394,0.0021380222528227,0.000413259604954203,0.00740105343899903,-0.0119485473258213
"beta",0.00182584310297394,0.004141366162729,0.00296867480239122,-0.000843871534411766,-0.0220900419230561,-0.00403644838585859
"gamma",0.0021380222528227,0.00296867480239122,0.0285119908227131,-0.000469603263957385,-0.0112075349106352,-0.00368151945938497
"delta",0.000413259604954203,-0.000843871534411766,-0.000469603263957385,0.000997610718164359,-0.00281783524465935,-0.00292112434373921
"lambda",0.00740105343899903,-0.0220900419230561,-0.0112075349106352,-0.00281783524465935,0.692547394636836,-0.0655071133132236
"luce",-0.0119485473258213,-0.00403644838585859,-0.00368151945938497,-0.00292112434373921,-0.0655071133132236,0.0659152884310065
"alpha",0.0164271623752287,0.00013188164238293,-0.0106197452660203,0.000298809383489754,0.00848882303053211,-0.00543855474433017
"beta",0.00013188164238293,0.00103081794765224,0.000739241177271288,0.000319290213323097,-0.00452319555706009,-0.00119798406789996
"gamma",-0.0106197452660203,0.000739241177271288,0.0480851408815356,-0.000588555462090081,-0.00313576767694738,0.000135603078157283
"delta",0.000298809383489754,0.000319290213323097,-0.000588555462090081,0.00105597358316404,-0.00109024442869201,-0.000677539402496026
"lambda",0.00848882303053211,-0.00452319555706009,-0.00313576767694738,-0.00109024442869201,0.19632233071086,-0.0519671520323553
"luce",-0.00543855474433017,-0.00119798406789996,0.000135603078157283,-0.000677539402496026,-0.0519671520323553,0.0347858315070294
"alpha",0.00713032973963065,0.00154370596041055,-0.00104963754711156,0.00271636516114618,0.0140999966030171,-0.0121867598877155
"beta",0.00154370596041055,0.00639049850954699,0.00055236704292043,0.000553790400268274,-0.0270028175481073,-0.00515386940130306
"gamma",-0.00104963754711156,0.00055236704292043,0.0207423276363494,-0.00476723326185563,-0.0115772451692003,0.000734343447961888
"delta",0.00271636516114618,0.000553790400268274,-0.00476723326185563,0.0293731269485888,-0.00417489158269218,-0.0123488610895884
"lambda",0.0140999966030171,-0.0270028175481073,-0.0115772451692003,-0.00417489158269218,0.747047348133754,-0.104494617527922
"luce",-0.0121867598877155,-0.00515386940130306,0.000734343447961888,-0.0123488610895884,-0.104494617527922,0.0686058359786488
"alpha",0.00275345896737762,-0.00146290358032506,-0.000352154038325633,0.00148456521849593,0.000508689851934849,-0.0117259880593465
"beta",-0.00146290358032506,0.0746210981615446,0.00101467386801072,-0.0108089023344323,0.00057561728392152,0.00545102112183628
"gamma",-0.000352154038325633,0.00101467386801072,0.0051534595539232,-0.000409346575493622,0.0017571117586084,-0.000303564385412468
"delta",0.00148456521849593,-0.0108089023344323,-0.000409346575493622,0.0104266517545926,-0.0270599428866325,-0.00643275694795189
"lambda",0.000508689851934849,0.00057561728392152,0.0017571117586084,-0.0270599428866325,1.39909120071855,0.000451207526708189
"luce",-0.0117259880593465,0.00545102112183628,-0.000303564385412468,-0.00643275694795189,0.000451207526708189,0.0645807112287849
